Linda Sánchez,S001156,
Stephanie Herseth-Sandlin,H001037,
Melissa Bean,B001253,
Thelma Drake,D000605,
Virginia Foxx,F000450,
Cathy McMorris-Rodgers,M001159,
Gwen Moore,M001160,
Allyson Schwartz,S001162,
Debbie Wasserman-Schultz,W000797,
Doris Matsui,M001163,
Jean Schmidt,S001164,
Shelley Sekula-Gibbs,S001166,
Michele Bachmann,B001256,
Nancy Boyda,B001258,
Kathy Castor,C001066,
Yvette Clarke,C001067,
Mary Fallin,F000453,
Gabrielle Giffords,G000554,
Kirsten Gillibrand,G000555,
Mazie Hirono,H001042,
Carol Shea-Porter,S001170,
Betty Sutton,S001174,
Laura Richardson,R000581,
Niki Tsongas,T000465,
Jackie Speier,S001175,
Donna Edwards,E000290,
Marcia Fudge,F000455,
Kathy Dahlkemper,D000608,
Debbie Halvorson,H001044,
Lynn Jenkins,J000290,
Mary Jo Kilroy,K000372,
Ann Kirkpatrick,K000368,
Suzanne Kosmas,K000370,
Cynthia Lummis,L000571,
Betsy Markey,M001172,
Chellie Pingree,P000597,
Dina Titus,T000468,
Judy Chu,C001080,
Sandy Adams,A000366,
Karen Bass,B001270,
Diane Black,B001273,
Ann Marie Buerkle,B001276,
Renee Ellmers,E000291,
Colleen Hanabusa,H001050,
Vicky Hartzler,H001053,
Nan Hayworth,H001054,
Jaime Herrera-Beutler,H001056,
Kristi Noem,N000184,
Martha Roby,R000591,
Terri Sewell,S001185,
Frederica Wilson,W000808,
Kathy Hochul,H001062,
Janice Hahn,H001063,
Suzanne Bonamici,B001278,
Suzan DelBene,D000617,
Joyce Beatty,B001281,
Susan Brooks,B001284,
Julia Brownley,B001285,
Cheri Bustos,B001286,
Tammy Duckworth,D000622,
Elizabeth Esty,E000293,
Lois Frankel,F000462,
Tulsi Gabbard,G000571,
Michelle Lujan-Grisham,L000580,
Ann McLane-Kuster,K000382,
Grace Meng,M001188,
Gloria Negrete-McLeod,N000187,
Kyrsten Sinema,S001191,
Ann Wagner,W000812,
Jackie Walorski,W000813,
Robin Kelly,K000385,
Katherine Clark,C001101,
Alma Adams,A000370,
Barbara Comstock,C001105,
Debbie Dingell,D000624,
Gwen Graham,G000575,
Brenda Lawrence,L000581,
Mia Love,L000584,
Martha McSally,M001197,
Stacey Plaskett,P000610,
Amata Radewagen,R000600,
Kathleen Rice,R000602,
Elise Stefanik,S001196,
Norma Torres,T000474,
Mimi Walters,W000820,
Bonnie Watson-Coleman,W000822,
Nanette Barragán,B001300,
Lisa Blunt-Rochester,B001303,
Liz Cheney,C001109,
Val Demings,D000627,
Jenniffer González,G000582,
Pramila Jayapal,J000298,
Stephanie Murphy,M001202,
Jacky Rosen,R000608,
Claudia Tenney,T000478,
Karen Handel,H001078,
Debbie Lesko,L000589,
Mary Gay Scanlon,S001205,
Susan Wild,W000826,
Brenda Jones,J000303,
Cindy Axne,A000378,
Angie Craig,C001119,
Sharice Davids,D000629,
Madeleine Dean,D000631,
Veronica Escobar,E000299,
Abby Finkenauer,F000467,
Lizzie Fletcher,F000468,
Sylvia Garcia,G000587,
Deb Haaland,H001080,
Jahana Hayes,H001081,
Katie Hill,H001087,
Kendra Horn,H001083,
Chrissy Houlahan,H001085,
Susie Lee,L000590,
Elaine Luria,L000591,
Lucy McBath,M001208,
Carol Miller,M001205,
Debbie Mucarsel-Powell,M001207,
Alexandria Ocasio-Cortez,O000172,
Ilhan Omar,O000173,
Katie Porter,P000618,
Ayanna Pressley,P000617,
Kim Schrier,S001216,
Donna Shalala,S001206,
Mikie Sherrill,S001207,
Elissa Slotkin,S001208,
Abigail Spanberger,S001209,
Haley Stevens,S001215,
Rashida Tlaib,T000481,
Xochitl Torres Small,T000484,
Lori Trahan,T000482,
Lauren Underwood,U000040,
Jennifer Wexton,W000825,
Stephanie Bice,B000740,
Lauren Boebert,B000825,
Carolyn Bourdeaux,B001312,
Cori Bush,B001224,
Kat Cammack,C001039,
Michelle Fischbach,F000470,
Marjorie Taylor Greene,G000596,
Diana Harshbarger,H001086,
Yvette Herrell,H001084,
Ashley Hinson,H001091,
Sara Jacobs,J000305,
Young Kim,K000397,
Teresa Leger Fernandez,L000273,
Nancy Mace,M000194,
Nicole Malliotakis,M000317,
Kathy Manning,M001135,
Lisa McClain,M001136,
Mary Miller,M001211,
Mariannette Miller-Meeks,M001215,
Marie Newman,N000192,
Deborah Ross,R000305,
Maria Elvira Salazar,S000168,
Victoria Spartz,S000929,
Michelle Steel,S001135,
Marilyn Strickland,S001159,
Beth Van Duyne,V000134,
Nikema Williams,W000788,
Julia Letlow,L000595,
Melanie Stansbury,S001218,
Shontel Brown,B001313,
